Commit,Date,Author,Feature Files,Total Lines,Message
f3292f4,2008-04-09 03:10:41,unknown,0,0,brand new repo
3450332,2008-04-09 19:48:19,unknown,0,0,Got the scaffolding up
54e9e74,2008-04-09 20:50:28,unknown,0,0,improving api
1629b01,2008-04-09 20:57:02,unknown,0,0,Defer the compilation of the grammar till after the steps are added
4db46f4,2008-04-09 21:37:13,unknown,0,0,"Added rule factory implementation (still dumb)

77c23c0247c0bedf023079d8366dceb2c1dffd13 comm"
77c23c0,2008-04-10 03:37:44,unknown,0,0,Added TODOs
6d273e3,2008-04-10 17:44:28,Aslak Hellesoy,0,0,change author
d1fd911,2008-04-11 22:04:08,Aslak Hellesøy,0,0,Renamed the whole thing 'Cucumber'. Patty decided on the bus.
ac50f17,2008-04-13 22:42:11,Aslak Hellesøy,0,0,Shuffling everything around
12bcfd3,2008-04-13 23:16:08,Aslak Hellesøy,0,0,specs passing again
cd7b094,2008-04-16 20:20:59,Aslak Hellesøy,0,0,Spring cleaning
4411201,2008-04-17 23:44:46,Aslak Hellesøy,0,0,added generated language-specific parsers
2cd31c3,2008-04-18 00:03:24,Aslak Hellesøy,0,0,Added a command line
c1e0ac3,2008-04-23 02:15:55,Aslak Hellesøy,0,0,cleaned up old experimental code
0cb13e3,2008-04-23 02:16:09,Aslak Hellesøy,0,0,cleaned up old experimental code
e2efff8,2008-04-23 02:32:44,Aslak Hellesøy,0,0,words
82c94c7,2008-04-23 03:40:27,Aslak Hellesøy,0,0,Added backtrace support and dryrun
92b00f0,2008-04-28 23:48:18,Aslak Hellesøy,0,0,Added different phase events to the syntax tree
e80747a,2008-04-30 19:08:51,Aslak Hellesøy,0,0,Put in place a spec harness for story runner
785538c,2008-05-06 00:59:05,Aslak Hellesøy,0,0,removed line param
dfd79e5,2008-05-06 01:28:03,Aslak Hellesøy,0,0,"removing params, putting more knowledge into the step node"
32d4f03,2008-05-07 20:57:45,Aslak Hellesøy,0,0,more examples
7ece410,2008-05-08 03:02:18,Aslak Hellesøy,0,0,returned to a visitor based design
a3d59a7,2008-05-08 18:32:03,Aslak Hellesøy,0,0,more work on visitor api
a68f6b3,2008-05-08 18:38:10,Aslak Hellesøy,0,0,typo
b45ade5,2008-05-10 00:15:01,Aslak Hellesøy,0,0,updated manifest
e5c51e3,2008-05-10 00:25:12,Aslak Hellesøy,0,0,example tweaks for os x
2dd7b18,2008-05-14 11:51:41,Aslak Hellesøy,0,0,some unfinished experiments with html visitor
17f44a5,2008-05-25 19:23:31,Aslak Helles�y,0,0,finally realised that formatters must use a different API than visitor (but can pretraverse stories 
b45f461,2008-05-25 20:11:06,Aslak Helles�y,0,0,"more work on html, some cleanup and added a simple workaround for old skool steps_for"
eba0c1a,2008-05-27 00:46:46,Aslak Helles�y,0,0,added norwegian examples and extracted step node
4c83017,2008-05-27 01:47:26,Aslak Hellesøy,0,0,add task for cr_lf fixing
e171c55,2008-05-27 01:49:53,Aslak Hellesøy,0,0,fix crlf
7d9bbad,2008-05-27 01:59:29,Aslak Hellesøy,0,0,A fix_cr_lf that actually works
cb98df1,2008-05-27 02:00:42,Aslak Hellesøy,0,0,MAnifest change
016177f,2008-05-27 06:10:13,Aslak Helles�y,0,0,Added a rake task
7231487,2008-05-29 01:54:30,Aslak Helles�y,0,0,moved all node classes out so they can be rdocced
1b77571,2008-05-29 21:23:09,Aslak Helles�y,0,0,added some rails finickiness resilience
4f81e8d,2008-05-30 02:29:29,Aslak Hellesøy,0,0,fix treetop:compile rake task for non-windows. fixed handling of different newlines in parser - one 
e4a76d8,2008-05-30 02:31:28,Aslak Hellesøy,0,0,add skipped to pretty summary
c11a658,2008-05-30 02:42:23,Aslak Hellesøy,0,0,hack for optional parameter to color methods
8c09965,2008-05-30 02:44:04,Aslak Hellesøy,0,0,ran fix_cr_lf again to fix newlines. this task seems broken on windows...
d526d22,2008-06-05 00:36:17,Aslak Helles�y,0,0,brighter (bold) colours
8b5becf,2008-06-06 23:08:45,Aslak Helles�y,0,0,Added Rakefile to examples and improved prettyprinter formatting
6dcbbe9,2008-06-07 01:05:26,Aslak Helles�y,0,0,rakefile
44a1e7d,2008-06-08 17:48:37,Aslak Hellesøy,0,0,highlight parameters in pretty printer
130a395,2008-06-08 19:50:56,Aslak Hellesøy,0,0,"Started to use term-ansicolor, which I just discovered"
5c805ed,2008-06-08 20:19:41,Aslak Hellesøy,0,0,moved all formatter files under formatters
c4e7300,2008-06-08 20:34:50,Aslak Hellesøy,0,0,more moving stuff around
0badf23,2008-06-08 23:48:59,Aslak Hellesøy,0,0,moved step execution into step itself
bd5d180,2008-06-09 00:17:33,Aslak Hellesøy,0,0,Added support for CUCUMBER_COLORS env var
92003e7,2008-06-09 00:34:51,Aslak Helles�y,0,0,added win32console code
50b5885,2008-06-10 21:05:14,Aslak Helles�y,0,0,Use StepMother without globals
682bc40,2008-06-12 03:08:04,Aslak Helles�y,0,0,better platform detection for win32console
6cb672e,2008-06-12 04:19:50,Aslak Helles�y,0,0,better html formatter and specs
9221b6e,2008-06-12 05:14:23,Aslak Helles�y,0,0,added jQuery based HTML report
a4b9c1d,2008-06-14 03:12:44,Aslak Helles�y,0,0,Various small formatter tweaks
36a5277,2008-06-14 03:47:26,Aslak Helles�y,0,0,added autorequire feature and 1 exit status on failures
f58f2f1,2008-06-18 04:17:04,Aslak Helles�y,0,0,started on pure ruby stories
a6a021c,2008-06-18 04:47:14,Aslak Helles�y,0,0,Fix backtrace for pure ruby stories
796a3aa,2008-06-18 04:52:03,Aslak Helles�y,0,0,remove ugly ANSI chars when redirecting STDOUT to a file
1e9a15c,2008-06-18 04:58:20,Aslak Helles�y,0,0,Added support for Celerity in examples
d13ded5,2008-06-24 05:38:26,Aslak Helles�y,0,0,various changes. Git confuses me
c8453c1,2008-06-24 05:50:16,Aslak Hellesøy,0,0,fix manifest and line endings
db27c00,2008-06-24 05:56:34,Aslak Hellesøy,0,0,tweaks
12f2a34,2008-07-09 22:53:39,Aslak Hellesøy,0,0,"GitHub, please build my gems"
47dd31f,2008-07-09 22:59:13,Aslak Hellesøy,0,0,Try to trigger build of gem on GitHub
bd6864a,2008-07-10 06:03:18,Aslak Hellesøy,0,0,"Rake task now takes name and desc, and defaults pattern to stories dir"
563c7ea,2008-08-04 16:59:29,Aslak Hellesøy,0,0,Try to trigger GitHub to build gem again
81d1e8f,2008-08-04 17:25:47,Aslak Hellesøy,0,0,Better CLI messages
af25f00,2008-08-04 17:44:51,Aslak Hellesøy,0,0,Added syntax error
0250153,2008-08-04 20:22:43,Aslak Hellesøy,0,0,Added java example and added snipets to pretty formatter
e94d567,2008-08-05 00:01:50,Aslak Hellesøy,0,0,Added java examples
c7f0392,2008-08-05 00:28:17,Aslak Hellesøy,0,0,Adjustments to get backtrice right on JRuby
a2a299c,2008-08-05 03:07:36,Aslak Hellesøy,0,0,Better backtrace and arg count error messages for both MRI and JRuby
4a31159,2008-08-06 02:32:17,Aslak Hellesøy,0,0,Docs
