File,Created,Last Modified,Total Commits,Lines Added,Lines Deleted,Current Lines
examples/java/hello.feature,2008-08-06 21:35:30,2008-08-07 23:26:27,2,0,0,0
examples/java/tree.feature,2008-08-06 21:35:30,2008-08-07 23:26:27,2,0,0,0
examples/simple/addition.feature,2008-08-06 21:35:30,2008-08-07 23:26:27,2,0,0,0
examples/simple/division.feature,2008-08-06 21:35:30,2008-08-07 23:26:27,2,0,0,0
examples/simple_norwegian/summering.feature,2008-08-06 21:35:30,2008-08-07 23:26:27,2,0,0,0
examples/web/search.feature,2008-08-06 21:35:30,2008-08-07 23:26:27,2,0,0,0
spec/cucumber/sell_cucumbers.feature,2008-08-06 21:35:30,2026-03-18 05:23:25,8191,10,9,0
examples/web/features/search.feature,2008-08-08 02:40:54,2008-08-12 04:20:07,12,0,0,0
examples/simple_norwegian/features/summering.feature,2008-08-08 02:40:54,2008-08-12 04:20:07,12,0,0,0
examples/simple/features/division.feature,2008-08-08 02:40:54,2008-08-08 10:02:29,2,0,0,0
examples/simple/features/addition.feature,2008-08-08 02:40:54,2008-08-08 10:02:29,2,0,0,0
examples/java/features/tree.feature,2008-08-08 02:40:54,2009-10-30 03:20:10,3498,791,1836,0
examples/java/features/hello.feature,2008-08-08 02:40:54,2009-10-30 03:20:10,3498,791,1836,0
examples/calculator/features/addition.feature,2008-08-08 10:26:06,2008-11-19 18:00:44,703,0,6,0
examples/calculator/features/division.feature,2008-08-08 10:26:06,2008-11-19 18:00:44,703,0,6,0
spec/cucumber/treetop_parser/spaces.feature,2008-08-08 11:14:03,2010-05-10 02:20:56,3919,3584,5416,0
examples/norwegian_calculator/features/summering.feature,2008-08-19 15:51:19,2008-11-19 18:00:44,693,0,6,0
examples/watir/features/search.feature,2008-08-19 15:51:19,2019-10-16 17:27:14,7352,446,892,0
spec/cucumber/treetop_parser/given_scenario.feature,2008-08-27 14:30:52,2010-05-10 02:20:56,3898,3584,5416,0
examples/calculatrice_francaise_avec_soit_scenario/features/addition.feature,2008-08-28 11:45:38,2008-11-19 18:00:44,679,0,6,0
examples/selenium/features/search.feature,2008-09-02 11:39:33,2010-05-10 02:20:56,3931,1790,3594,0
examples/cs/features/._hello.feature,2008-09-08 22:25:09,2008-09-17 09:28:55,13,0,0,0
examples/cs/features/hello.feature,2008-09-08 22:25:09,2008-12-08 00:39:52,851,0,0,0
examples/cs/features/tree.feature,2008-09-08 22:25:09,2008-12-08 00:39:52,851,0,0,0
spec/cucumber/treetop_parser/fit_scenario.feature,2008-09-08 22:40:46,2010-05-10 02:20:56,3832,37636,39583,0
examples/tickets/features/tickets.feature,2008-09-09 18:43:54,2010-07-02 14:10:13,4046,0,1952,0
examples/portuguese_calculator/features/adicao.feature,2008-09-15 19:26:19,2008-11-19 18:00:44,592,0,6,0
features/see_features.feature,2008-09-18 12:08:28,2009-01-11 21:00:13,1314,0,4,0
examples/danish_calculator/features/summering.feature,2008-09-19 11:17:11,2008-11-19 18:00:44,568,0,6,0
examples/spanish_calculator/features/adicion.feature,2008-09-19 20:09:18,2008-11-19 18:00:44,566,0,6,0
examples/estonian_calculator/features/liitmine.feature,2008-09-21 01:48:51,2008-11-19 18:00:44,566,0,6,0
spec/cucumber/treetop_parser/with_comments.feature,2008-09-30 11:20:05,2010-05-10 02:20:56,3738,3584,5416,0
spec/cucumber/treetop_parser/empty_scenario.feature,2008-09-30 16:00:01,2010-05-10 02:20:56,3734,3584,5416,0
spec/cucumber/treetop_parser/multiple_tables.feature,2008-09-30 19:47:24,2010-05-10 02:20:56,3732,3584,5416,0
spec/cucumber/treetop_parser/no_scenarios.feature,2008-09-30 23:35:57,2008-10-01 15:46:15,2,0,0,0
spec/cucumber/treetop_parser/empty_feature.feature,2008-10-01 15:46:15,2010-05-10 02:20:56,3718,3584,5416,0
examples/dos_line_endings/features/dos_line_endings.feature,2008-10-04 22:34:33,2010-07-02 14:10:13,3850,0,1952,0
spec/cucumber/treetop_parser/test_dos.feature,2008-10-05 19:33:16,2010-05-10 02:20:56,3668,3584,5416,0
examples/swedish_calculator/features/summering.feature,2008-10-07 22:05:29,2008-11-12 11:49:08,420,0,0,0
spec/cucumber/treetop_parser/multiline_steps.feature,2008-10-14 17:24:13,2010-05-10 02:20:56,3590,3590,5416,0
examples/chinese_simplified_calculator/features/addition.feature,2008-10-15 23:31:41,2008-11-12 11:49:08,342,0,0,0
examples/japanese_calculator/features/division.feature,2008-10-16 17:20:07,2008-11-12 11:49:08,300,0,0,0
examples/japanese_calculator/features/addition.feature,2008-10-16 17:20:07,2008-11-12 11:49:08,300,0,0,0
examples/indonesian_kalkulator/features/addition.feature,2008-10-28 04:09:30,2008-11-12 11:49:08,180,0,0,0
examples/indonesian_kalkulator/features/division.feature,2008-10-28 04:09:30,2008-11-12 11:49:08,180,0,0,0
examples/italian_calculator/features/somma.feature,2008-11-09 21:51:36,2008-11-11 20:49:10,28,0,0,0
examples/romanian_calculator/features/suma.feature,2008-11-10 19:12:43,2008-11-11 20:49:10,6,0,0,0
examples/i18n/ro/features/suma.feature,2008-11-11 20:49:10,2011-03-20 17:30:00,3643,1603,3293,0
examples/i18n/pt/features/adicao.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/no/features/summering.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/ja/features/division.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/ja/features/addition.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/it/features/somma.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/id/features/division.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/fr/features/addition.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/se/features/summering.feature,2008-11-11 20:49:10,2010-04-10 23:24:03,3132,5393,7184,0
examples/i18n/et/features/liitmine.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/es/features/adicion.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/en/features/division.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/en/features/addition.feature,2008-11-11 20:49:10,2026-03-18 05:23:25,7518,6,0,0
examples/i18n/da/features/summering.feature,2008-11-11 20:49:10,2009-10-28 08:19:39,2785,1023,1578,0
